snapshot_month,snapshot_at,our_product_id,our_product_title,our_category,our_product_url,our_price_ars,our_price_basis,competitor_domain,competitor_product_title,competitor_product_url,competitor_category,competitor_price_ars,competitor_price_basis,competitor_includes_personalization,title_match_key,match_type,price_gap_ars,price_gap_pct,coverage_status
2026-03,2026-03-28T13:38:30.823Z,xt_1154,1891,Relojes,https://diezypunto-web.vercel.app/producto/xt_1154,9056.00,final,merch.com.ar,,,,,,,1891,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1274,1949,Llaveros,https://diezypunto-web.vercel.app/producto/xt_1274,1542.35,final,merch.com.ar,,,,,,,1949,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_3359,2111,Llaveros,https://diezypunto-web.vercel.app/producto/xt_3359,2547.00,final,merch.com.ar,,,,,,,2111,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_3129,21130,Bienestar,https://diezypunto-web.vercel.app/producto/xt_3129,1032.95,final,merch.com.ar,,,,,,,21130,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1161,2115,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1161,3113.00,final,merch.com.ar,,,,,,,2115,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_3132,21169,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_3132,3650.70,final,merch.com.ar,,,,,,,21169,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2106,2297,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_2106,15352.75,final,merch.com.ar,,,,,,,2297,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1125,2508,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1125,2136.65,final,merch.com.ar,,,,,,,2508,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1162,2665,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1162,3113.00,final,merch.com.ar,,,,,,,2665,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1163,2707,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1163,2971.50,final,merch.com.ar,,,,,,,2707,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1165,2709,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1165,1952.70,final,merch.com.ar,,,,,,,2709,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1132,3028,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1132,396.20,final,merch.com.ar,,,,,,,3028,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1134,3177,Oficina y Negocios,https://diezypunto-web.vercel.app/producto/xt_1134,1273.50,final,merch.com.ar,,,,,,,3177,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_1417,3236,Tecnología,https://diezypunto-web.vercel.app/producto/xt_1417,13767.95,final,merch.com.ar,,,,,,,3236,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2060,3617,Herramientas,https://diezypunto-web.vercel.app/producto/xt_2060,9763.50,final,merch.com.ar,,,,,,,3617,none,,,no_title_match
2026-03,2026-03-28T13:38:30.823Z,xt_2475,3631A,Bienestar,https://diezypunto-web.vercel.app/producto/xt_2475,11164.35,final,merch.com.ar,,,,,,,3631a,none,,,no_title_match
